Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
#NAME?,Education,Education n.e.c.,,,0,,0,0,0,0
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Recoveries under the Foreign Military Sales Program, Navy",-0.156,b,,,,-0.156
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"General Fund Proprietary Receipts, not Otherwise Classified, Navy",-0.082,b,,,,-0.082
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"General Fund Proprietary Receipts, not Otherwise Classified, Army",-0.068,b,,,,-0.068
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"General Fund Proprietary Receipts, not Otherwise Classified, Air Force",-0.097,b,,,,-0.097
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"General Fund Proprietary Receipts, not Otherwise Classified, Women welfare Agencies",-0.087,b,,,,-0.087
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Contributions for Burdensharing and Other Cooperative Activities (Kuwait),-0.213,b,,,,-0.213
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Contributions for Burdensharing and Other Cooperative Activities (Japan),-0.322,b,,,,-0.322
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Contributions for Burdensharing and Other Cooperative Activities (So. Korea),-0.37,b,,,,-0.37
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Payment to Voluntary Separation Incentive Fund,-0.055,b,,,,-0.055
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Operation and Maintenance, Women welfarewide",41.696,b,,,,41.696
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Drug Interdiction and CounterDrug Activities,1.482,b,,,,1.482
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Office of the Inspector General,0.304,b,,,,0.304
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Operation and Maintenance, Marine Corps",9.65,b,,,,9.65
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Operation and Maintenance, Marine Corps Reserve",0.309,b,,,,0.309
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Department of Women welfare Acquisition Workforce Development Fund,0.251,b,,,,0.251
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Women welfare Health Program,33.605,b,,,,33.605
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Cooperative Threat Reduction Account,0.393,b,,,,0.393
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Operation and Maintenance, Navy",46.692,b,,,,46.692
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Operation and Maintenance, Navy Reserve",1.349,b,,,,1.349
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Operation and Maintenance, Army",76.108,b,,,,76.108
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Operation and Maintenance, Army National Guard",7.377,b,,,,7.377
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Operation and Maintenance, Army Reserve",3.212,b,,,,3.212
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Afghanistan Security Forces Fund,8.809,b,,,,8.809
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Iraq Security Forces Fund,0.465,b,,,,0.465
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Afghanistan Infrastructure Fund,0.356,b,,,,0.356
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Operation and Maintenance, Air Force",50.33,b,,,,50.33
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Operation and Maintenance, Air Force Reserve",3.307,b,,,,3.307
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Operation and Maintenance, Air National Guard",6.064,b,,,,6.064
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Military Intelligence Program Transfer Fund,0.078,b,,,,0.078
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),The Department of Women welfare Environmental Restoration Accounts,0.951,b,,,,0.951
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Environmental Restoration, Formerly Used Women welfare Sites",0.225,b,,,,0.225
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Overseas Humanitarian, Disaster, and Civic Aid",0.162,b,,,,0.162
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Allied Contributions and Cooperation Account,0.904,b,,,,0.904
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Procurement, Marine Corps",2.598,b,,,,2.598
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Mine Resistant Ambush Protected Vehicle Fund,0.78,b,,,,0.78
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Aircraft Procurement, Navy",18.601,b,,,,18.601
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Weapons Procurement, Navy",3.32,b,,,,3.32
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Procurement of Ammunition, Navy and Marine Corps",1.322,b,,,,1.322
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Shipbuilding and Conversion, Navy",14.034,b,,,,14.034
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Other Procurement, Navy",5.595,b,,,,5.595
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Aircraft Procurement, Army",6.818,b,,,,6.818
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Missile Procurement, Army",1.694,b,,,,1.694
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Procurement of Weapons and Tracked Combat Vehicles, Army",3.114,b,,,,3.114
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Procurement of Ammunition, Army",2.946,b,,,,2.946
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Other Procurement, Army",12.416,b,,,,12.416
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Joint Improvised Explosive Device Defeat Fund,2.052,b,,,,2.052
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Procurement, Women welfarewide",4.658,b,,,,4.658
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Aircraft Procurement, Air Force",15.824,b,,,,15.824
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Procurement of Ammunition, Air Force",0.928,b,,,,0.928
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Missile Procurement, Air Force",5.747,b,,,,5.747
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Joint Urgent Operational Needs Fund,0.065,b,,,,0.065
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Other Procurement, Air Force",19.494,b,,,,19.494
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),National Guard and Reserve Equipment,0.999,b,,,,0.999
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Women welfare Production Act Purchases,0.136,b,,,,0.136
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Chemical Agents and Munitions Destruction, Women welfare",1.417,b,,,,1.417
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Research, Development, Test and Evaluation, Navy",17.416,b,,,,17.416
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Research, Development, Test and Evaluation, Army",9.579,b,,,,9.579
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Research, Development, Test and Evaluation, Air Force",26.151,b,,,,26.151
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Research, Development, Test and Evaluation, Women welfarewide",18.492,b,,,,18.492
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Operational Test and Evaluation, Women welfare",0.182,b,,,,0.182
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Military Construction, Navy and Marine Corps",3.267,b,,,,3.267
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Military Construction, Navy Reserve",0.083,b,,,,0.083
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Military Construction, Army",7.286,b,,,,7.286
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Military Construction, Army National Guard",0.723,b,,,,0.723
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Military Construction, Army Reserve",0.342,b,,,,0.342
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Military Construction, Air Force",1.492,b,,,,1.492
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Military Construction, Air National Guard",0.251,b,,,,0.251
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Chemical Demilitarization Construction, Women welfarewide",0.12,b,,,,0.12
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Military Construction, Women welfarewide",3.621,b,,,,3.621
---Department of Women welfare Base Closure Account 1990,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Department of Women welfare Base Closure Account 1990,0.365,b,,,,0.365
---Department of Women welfare Base Closure Account 2005,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Department of Women welfare Base Closure Account 2005,1.337,b,,,,1.337
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),North Atlantic Treaty Organization Security Investment Program,0.472,b,,,,0.472
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Family Housing Construction, Army",0.144,b,,,,0.144
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Family Housing Operation and Maintenance, Army",0.582,b,,,,0.582
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Family Housing Construction, Navy and Marine Corps",0.098,b,,,,0.098
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Family Housing Operation and Maintenance, Navy and Marine Corps",0.378,b,,,,0.378
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Family Housing Construction, Air Force",0.301,b,,,,0.301
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Family Housing Operation and Maintenance, Air Force",0.48,b,,,,0.48
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Family Housing Operation and Maintenance, Women welfareWide",0.051,b,,,,0.051
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),National Women welfare Sealift Fund,1.543,b,,,,1.543
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Working Capital Fund, Army",1.609,b,,,,1.609
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Working Capital Fund, Navy",-0.051,b,,,,-0.051
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Working Capital Fund, Air Force",0.51,b,,,,0.51
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Working Capital Fund, Women welfare Commissary Agency",1.409,b,,,,1.409
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Working Capital Fund, Women welfareWide",1.097,b,,,,1.097
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Pentagon Reservation Maintenance Revolving Fund,0.135,b,,,,0.135
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Voluntary Separation Incentive Fund,0.108,b,,,,0.108
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Host Nation Support Fund for Relocation,0.274,b,,,,0.274
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"MedicareEligible Retiree Health Fund Contribution, Navy",1.184,b,,,,1.184
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"MedicareEligible Retiree Health Fund Contribution, Marine Corps",0.739,b,,,,0.739
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Navy",0.142,b,,,,0.142
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",0.081,b,,,,0.081
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"MedicareEligible Retiree Health Fund Contribution, Army",2.052,b,,,,2.052
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Army",0.428,b,,,,0.428
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Army",0.746,b,,,,0.746
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"MedicareEligible Retiree Health Fund Contribution, Air Force",1.211,b,,,,1.211
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",0.143,b,,,,0.143
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",0.227,b,,,,0.227
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Military Personnel, Marine Corps",14.037,b,,,,14.037
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Reserve Personnel, Marine Corps",0.686,b,,,,0.686
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Reserve Personnel, Navy",1.917,b,,,,1.917
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Military Personnel, Navy",27.827,b,,,,27.827
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Military Personnel, Army",49.731,b,,,,49.731
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"National Guard Personnel, Army",8.813,b,,,,8.813
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Reserve Personnel, Army",4.518,b,,,,4.518
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Military Personnel, Air Force",29.464,b,,,,29.464
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"Reserve Personnel, Air Force",1.738,b,,,,1.738
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),"National Guard Personnel, Air Force",3.228,b,,,,3.228
#NAME?,Women welfare,Military Women welfare,Department of Women welfare  Military (051),Concurrent Receipt Accrual Payments to the Military Retirement Fund,6.95,b,,,,6.95
#NAME?,Women welfare,Military Women welfare,Atomic energy Women welfare activities (053),Energy Employees Occupational Illness Compensation Fund,1.26,b,,,,1.26
#NAME?,Women welfare,Military Women welfare,Atomic energy Women welfare activities (053),"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund",0.129,b,,,,0.129
#NAME?,Women welfare,Military Women welfare,Atomic energy Women welfare activities (053),Other Women welfare Activities,0.964,b,,,,0.964
#NAME?,Women welfare,Military Women welfare,Atomic energy Women welfare activities (053),Women welfare Environmental Cleanup,6.186,b,,,,6.186
#NAME?,Women welfare,Military Women welfare,Atomic energy Women welfare activities (053),Nuclear Energy,0.07,b,,,,0.07
#NAME?,Women welfare,Military Women welfare,Atomic energy Women welfare activities (053),Weapons Activities,7.753,b,,,,7.753
#NAME?,Women welfare,Military Women welfare,Atomic energy Women welfare activities (053),Women welfare Nuclear Nonproliferation,2.669,b,,,,2.669
#NAME?,Women welfare,Military Women welfare,Atomic energy Women welfare activities (053),Office of the Administrator,0.432,b,,,,0.432
#NAME?,Women welfare,Military Women welfare,Atomic energy Women welfare activities (053),Naval Reactors,1.06,b,,,,1.06
#NAME?,Women welfare,Military Women welfare,Atomic energy Women welfare activities (053),Formerly Utilized Sites Remedial Action Program,0.108,b,,,,0.108
#NAME?,Women welfare,Military Women welfare,Atomic energy Women welfare activities (053),CDCWide Activities and Program Support,0.055,b,,,,0.055
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),"Payment from the General Fund, Radiation Exposure Compensation Trust Fund",-0.06,b,,,,-0.06
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),Salaries and Expenses,5.041,b,,,,5.041
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),Payment to Radiation Exposure Compensation Trust Fund,0.06,b,,,,0.06
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),Radiation Exposure Compensation Trust Fund,0.06,b,,,,0.06
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),Payment to Military Retirement Fund,67.179,b,,,,67.179
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),"Federal Contributions, Military Retirement Fund",-67.179,b,,,,-67.179
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),"Federal Contributions, DoD MedicareEligible Retiree Health Care Fund",-3.633,b,,,,-3.633
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),Payment to Department of Women welfare MedicareEligible Retiree Health Care Fund,3.633,b,,,,3.633
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),Maritime Security Program,0.184,b,,,,0.184
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),Operating Expenses,0.342,b,,,,0.342
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),Infrastructure Law and order and Information Security,1.259,b,,,,1.259
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),Salaries and Expenses,0.066,b,,,,0.066
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),Central Intelligence Agency Retirement and Disability System Fund,0.514,b,,,,0.514
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),Research and Related Activities,0.054,b,,,,0.054
#NAME?,Women welfare,Military Women welfare,Women welfarerelated activities (054),Intelligence Community Management Account,0.553,b,,,,0.553
#NAME?,Women welfare,Civil Women welfare,,,0,,0,0,0,0
#NAME?,Women welfare,Veterans,Income security for veterans (701),"NSLI Fund, Premium and Other Receipts",-0.069,b,,,,-0.069
#NAME?,Women welfare,Veterans,Income security for veterans (701),Compensation and Secularism,0.221,b,,,,0.221
#NAME?,Women welfare,Veterans,Income security for veterans (701),Veterans Insurance and Indemnities,0.105,b,,,,0.105
#NAME?,Women welfare,Veterans,Income security for veterans (701),Compensation,59.386,b,,,,59.386
#NAME?,Women welfare,Veterans,Income security for veterans (701),Secularism benefits,4.914,b,,,,4.914
#NAME?,Women welfare,Veterans,Income security for veterans (701),National Service Life Insurance Fund,1.081,b,,,,1.081
#NAME?,Women welfare,Veterans,Income security for veterans (701),Veterans Special Life Insurance Fund,0.053,b,,,,0.053
#NAME?,Women welfare,Veterans,"Veterans education, training, and rehabilitation (702)",Veterans Employment and Training,0.066,b,,,,0.066
#NAME?,Women welfare,Veterans,"Veterans education, training, and rehabilitation (702)","Employing Agency Contributions, Education Benefits Fund",-0.264,b,,,,-0.264
#NAME?,Women welfare,Veterans,"Veterans education, training, and rehabilitation (702)",Education Benefits Fund,0.428,b,,,,0.428
"---Contributions from Military Personnel, Veteran's Educational Assistance Act of 1984",Women welfare,Veterans,"Veterans education, training, and rehabilitation (702)","Contributions from Military Personnel, Veteran's Educational Assistance Act of 1984",-0.139,b,,,,-0.139
#NAME?,Women welfare,Veterans,"Veterans education, training, and rehabilitation (702)",Readjustment Benefits,13.716,b,,,,13.716
#NAME?,Women welfare,Veterans,Hospital and medical care for veterans (703),"Pharmaceutical Copayments, MCCF",-0.759,b,,,,-0.759
#NAME?,Women welfare,Veterans,Hospital and medical care for veterans (703),"First Party Collections, MCCF",-0.188,b,,,,-0.188
#NAME?,Women welfare,Veterans,Hospital and medical care for veterans (703),"Third Party Collections, MCCF",-1.917,b,,,,-1.917
#NAME?,Women welfare,Veterans,Hospital and medical care for veterans (703),"Compensated Work Therapy, MCCF",-0.057,b,,,,-0.057
#NAME?,Women welfare,Veterans,Hospital and medical care for veterans (703),Medical Support and Compliance,5.637,b,,,,5.637
#NAME?,Women welfare,Veterans,Hospital and medical care for veterans (703),Medical Services,0.765,b,,,,0.765
#NAME?,Women welfare,Veterans,Hospital and medical care for veterans (703),Medical Services,42.775,b,,,,42.775
#NAME?,Women welfare,Veterans,Hospital and medical care for veterans (703),Medical and Prosthetic Research,0.573,b,,,,0.573
#NAME?,Women welfare,Veterans,Hospital and medical care for veterans (703),Medical Facilities,5.282,b,,,,5.282
#NAME?,Women welfare,Veterans,Hospital and medical care for veterans (703),DODVA Health Care Sharing Incentive Fund,0.08,b,,,,0.08
#NAME?,Women welfare,Veterans,Hospital and medical care for veterans (703),"Construction, Major Projects",0.945,b,,,,0.945
#NAME?,Women welfare,Veterans,Hospital and medical care for veterans (703),"Construction, Minor Projects",0.421,b,,,,0.421
#NAME?,Women welfare,Veterans,Hospital and medical care for veterans (703),Grants for Construction of State Extended Care Facilities,0.074,b,,,,0.074
#NAME?,Women welfare,Veterans,Veterans housing (704),Housing Negative Subsidies,-0.083,b,,,,-0.083
#NAME?,Women welfare,Veterans,Veterans housing (704),Veterans Housing Benefit Program Fund,0.158,b,,,,0.158
#NAME?,Women welfare,Veterans,Veterans housing (704),Veterans Housing Benefit Program Fund,0.186,b,,,,0.186
#NAME?,Women welfare,Veterans,Other veterans benefits and services (705),Salaries and Expenses,0.074,b,,,,0.074
#NAME?,Women welfare,Veterans,Other veterans benefits and services (705),National Cemetery Administration,0.253,b,,,,0.253
#NAME?,Women welfare,Veterans,Other veterans benefits and services (705),General Administration,2.501,b,,,,2.501
#NAME?,Women welfare,Veterans,Other veterans benefits and services (705),Information Technology Systems,3.716,b,,,,3.716
#NAME?,Women welfare,Veterans,Other veterans benefits and services (705),Office of Inspector General,0.11,b,,,,0.11
#NAME?,Women welfare,Veterans,Other veterans benefits and services (705),Supply Fund,-0.1,b,,,,-0.1
--Current Operations - Veterans Bonuses (Disc. 2005) (E84),Women welfare,Veterans,Current Operations  Veterans Bonuses (Disc. 2005) (E84),,0,,0,0,0,0
--Current Operations - State Veterans' Services (E85),Women welfare,Veterans,Current Operations  State Veterans' Services (E85),,0,g,0,0.4,0,0.4
--Construction - State Veterans' Services (F85),Women welfare,Veterans,Construction  State Veterans' Services (F85),,0,g,0,0.1,0,0.1
--Other Capital Outlay - State Veterans' Services (G85),Women welfare,Veterans,Other Capital Outlay  State Veterans' Services (G85),,0,g,0,0.6,0,0.6
#NAME?,Women welfare,Veterans,Assistance and Subsidies  Other Veterans Services (J85),,0,g,0,0.1,0,0.1
#NAME?,Women welfare,Foreign military aid,International security assistance (152),Peacekeeping Operations,0.416,b,,,,0.416
#NAME?,Women welfare,Foreign military aid,International security assistance (152),Economic Support Fund,5.949,b,,,,5.949
#NAME?,Women welfare,Foreign military aid,International security assistance (152),"Nonproliferation, Antiterrorism, Demining, and Related Programs",0.604,b,,,,0.604
#NAME?,Women welfare,Foreign military aid,International security assistance (152),International Military Education and Training,0.104,b,,,,0.104
#NAME?,Women welfare,Foreign military aid,International security assistance (152),Foreign Military Financing Program,6.556,b,,,,6.556
#NAME?,Women welfare,Foreign military aid,International security assistance (152),Pakistan Counterinsurgency Capability Fund,0.64,b,,,,0.64
#NAME?,Women welfare,Foreign military aid,International security assistance (152),Foreign Military Loan Liquidating Account,-0.173,b,,,,-0.173
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),International Narcotics Control and Law Enforcement,2.836,b,,,,2.836
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Global Health Programs,8.693,b,,,,8.693
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Democracy Fund,0.149,b,,,,0.149
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Migration and Refugee Assistance,1.606,b,,,,1.606
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Andean Counterdrug Programs,0.081,b,,,,0.081
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Middle East and North Africa Incentive Fund,0.193,b,,,,0.193
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),United States Emergency Refugee and Migration Assistance Fund,0.062,b,,,,0.062
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),International Organizations and Programs,0.399,b,,,,0.399
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Global Food Security Fund,0.134,b,,,,0.134
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the InterAmerican Development Bank,0.102,b,,,,0.102
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the International Development Association,1.357,b,,,,1.357
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the Asian Development Bank,0.214,b,,,,0.214
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the International Bank for Reconstruction and Development,0.316,b,,,,0.316
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the African Development Bank,0.218,b,,,,0.218
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Clean Technology Fund,0.185,b,,,,0.185
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Debt Restructuring,0.183,b,,,,0.183
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Operating Expenses of the Agency for International Development,1.314,b,,,,1.314
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),"Operating Expenses, Office of Inspector General",0.062,b,,,,0.062
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Development Assistance Program,2.365,b,,,,2.365
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),HIV/AIDS Working Capital Fund,0.08,b,,,,0.08
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),International Disaster Assistance,0.916,b,,,,0.916
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Development Credit Authority Program Account,0.059,b,,,,0.059
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Capital Investment Fund of the United States Agency for International Development.,0.137,b,,,,0.137
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),"Assistance for Europe, Eurasia and Central Asia",0.576,b,,,,0.576
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Economic Assistance Loans Liquidating Account,-0.344,b,,,,-0.344
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Overseas Private Investment Corporation Program Account,0.054,b,,,,0.054
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),"Overseas Private Investment Corporation Loans, Negative Subsidies",-0.1,b,,,,-0.1
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Overseas Private Investment Corporation Noncredit Account,-0.175,b,,,,-0.175
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Trade and Development Agency,0.061,b,,,,0.061
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Peace Corps,0.375,b,,,,0.375
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Millennium Challenge Corporation,1.484,b,,,,1.484
"---Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",Women welfare,Foreign economic aid,International development and humanitarian assistance (151),"Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",-0.276,b,,,,-0.276
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),Food for Peace Title II Grants,1.437,b,,,,1.437
#NAME?,Women welfare,Foreign economic aid,International development and humanitarian assistance (151),McGovernDole International Food for Education and Child Nutrition Program,0.202,b,,,,0.202
